,title,Volume,Issue,Pages,whole__author_name,simply_author_name,reprint author,DOI,reprint address,Abstract,Keywords,Document Type,Publisher,Research Domain,Published Date,impact_factor,Keywords_plus,joural,pdf_link,Download_SuccessOrDefeat
1,Toothwise Health Monitoring of Planetary Gearbox Under Time-Varying Speed Condition Based on Rotating Encoder Signal,69,6,6267-6277,"Liang Kaixuan,Zhao Ming,Lin Jing,Jiao Jinyang,Ding Chuancang","Liang KX,Zhao M,Lin J,Jiao JY,Ding CC",,10.1109/TIE.2021.3090713,,"To meet industrial demand, plenty of research works have been dedicated to monitoring the health status of planetary gearboxes. For the same purpose, a new path is explored based on rotating encoder signal (RES) by considering time-varying speed condition. In proposed method, generalized demodulation is firstly applied on second-order derivative of RES to eliminate the frequency variability caused by time-varying speed, and a combined comb filter is performed in this process to improve the signal-to-noise ratio of demodulated signal. The toothwise meshing information is then integrated as individual samples for the detection of local anomalies induced by gear defect. After reducing the dimensionality of these toothwise samples by reordered kernel principal component analysis, a normalized robust statistical distance is constructed to indicate the anomalies contained in RES. Simulation and experimental cases are provided to reveal the efficacy of the proposed method.","Gears,Vibrations,Planets,Demodulation,Shafts,Noise reduction,Frequency modulation,Dimensionality reduction,encoder signal analysis,time-varying speed",Article,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Automation & Control Systems,Engineering,Instruments & Instrumentation",,,"FAULT-DETECTION,VIBRATION,DIAGNOSIS",IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,,
2,Investigations on crack propagation and meshing characteristics of planetary gear train considering crack closure effect,134,,,"Duan Tiantang,Wei Jing,Yan Qiang,Zhang Aiqiang,Peng Zhike","Duan TT,Wei J,Yan Q,Zhang AQ,Peng ZK",,10.1016/j.engfailanal.2022.106064,,"The shape of spatial crack is more complex in practice and crack closure will occur due to deformation, which will result in partial contact of the crack surfaces. In previous researches, a simple linear plane assumption for the gear crack trajectory was usually made and the crack closure effect was ignored. Based on the principle of linear elastic fracture mechanics, a threedimensional numerical model of planetary gear train crack propagation considering the initial crack location, ring gear backup ratio and constraint mode is built in this study. Considering the crack closure effect and the obtained crack trajectory, the meshing characteristics (including the time varying meshing stiffness (TVMS) and contact pressure) are investigated. The results indicate that when considering the crack closure effect, the reduction in the TVMS of the cracked gear decreases and the influence of the foundation crack closure effect on TVMS is greater than that of tooth crack closure effect. Appropriately constraining the outer rim of the thinner ring gear can help avoid catastrophic foundation crack, but the TVMS is more sensitive to the change in the backup ratio when only the pin support is restrained. The uneven distribution trend of cracked tooth contact pressure depends on the nonpenetrating crack type.","Crack propagation,Meshing characteristics,Crack closure effect,Constraint mode",Article,"PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Engineering,Materials Science",,3.233,"SPUR,GEAR,STIFFNESS,CALCULATION,FAILURE,ANALYSIS,FAULT-DIAGNOSIS,TOOTH,CRACK,SIMULATION,DYNAMICS,MODEL,TEETH,WIDTH",ENGINEERING FAILURE ANALYSIS,,
3,Resonance modulation vibration mechanism of equally-spaced planetary gearbox with a localized fault on sun gear,166,,,"Xu Lei,Ding Kang,He Guolin,Li Yongzhuo,Chen Zhuyun","Xu L,Ding K,He GL,Li YZ,Chen ZY",,10.1016/j.ymssp.2021.108450,,"The vibration signal of the planetary gearbox shows complicated modulation sidebands no matter the gear is normal or fault. It leads to a challenge in the fault diagnosis, especially for the localized faults which stimulate resonance modulation phenomena. To reveal the resonance modulation mechanism of sun gear's localized fault, the vibration signal model is built based on the convolution of transient impact force and transfer function of the planetary gearbox. Three prominent transfer paths including modal parameters of the flexible ring gear or housing are involved to obtain resonance modulation sidebands. A projection function is used to model the time-varying direction of transient impact force. Resonance modulation sidebands of a single planet gear meshing is first deduced, and then the sidebands related to multiply planet gears meshing. The resonance modulation of localized fault on sun gear are concluded to be consist of three groups of sidebands. The proposed model is verified by the good consistency between simulation and experimental testing on a commodity planetary gearbox. It contributes an important and effective frequency indicator to confirm the condition of planetary gearboxes.","Vibration signal model,Transfer path analysis,Resonance modulation",Article,"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD, 24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",Engineering,,6.662,"SIDE-BAND,DIAGNOSIS,SET,MODELS,TRAIN",MECHANICAL SYSTEMS AND SIGNAL PROCESSING,,
4,Vibration modelling and fault evolution symptom analysis of a planetary gear train for sun gear wear status assessment,166,,,Liu Xianzeng,Liu XZ,,10.1016/j.ymssp.2021.108403,,"The diagnosis and monitoring of surface wear are very critical for the prevention of shutdown and even catastrophic destruction of a geared transmission system. However, the detection for the evolutionary status of surface wear in a planetary gear train is quite challengeable due to the complicated and weak characteristics buried in the vibration signals. To assess the wear status of gears in a planetary gear train, a sophisticated vibration signal analysis based methodology is proposed. First, an analytical dynamic model of single-stage planetary gear train is established, which incorporates the effects of distributed surface wear of mating gears. With the analytical dynamic model, a resultant vibration signal model is further established after considering the influences of transfer path, direction variation of gear action lines and background noise. This vibration signal model is used to represent the actual vibration signals collected by transducers installed on the housing of planetary gearbox. Based on the constructed resultant vibration signals, two novel fault indicators are defined to reveal the evolution law of fault symptom. The fault evolution symptom analysis is used to identify healthy status and wear status of mating gears in the planetary transmission system. The effectiveness of the proposed model as well as the fault indicators are validated by both simulated signals and experimental signals.","Surface wear,Vibration analysis",Article,"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD, 24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",Engineering,,6.662,"MODULATION,SIDE-BAND,SURFACE,WEAR,TOOTH,WEAR,DIAGNOSIS,SYSTEM,DECOMPOSITION,METHODOLOGY,DYNAMICS,FAILURE,DEBRIS",MECHANICAL SYSTEMS AND SIGNAL PROCESSING,,
5,An adaptive order-band energy ratio method for the fault diagnosis of planetary gearboxes,165,,,"Zhang Mian,Li Decai,Wang KeSheng,Li Qing,Ma Yue,Liu Zhenzhong,Kang Tianbo","Zhang M,Li DC,Wang KS,Li Q,Ma Y,Liu ZZ,Kang TB",,10.1016/j.ymssp.2021.108336,,"Condition monitoring of planetary gearboxes in time-varying speed service is an important and actual engineering requirement, however, also an intractable task. The traditional sideband energy ratio (SER) method limits its application to complex operational conditions due to the frequency spectrum based and manual bandwidth selection. To this end, this paper proposes an adaptive order-band energy ratio (AOER) method, an enhanced version of the SER, to quantitatively and intelligently diagnose gear faults under different operational conditions. First, a signal model based on angular increment and order components is proposed to properly describe the vibrations for both stationary and non-stationary conditions. The proposed model provides the theoretical source and reliance for the order spectrum analysis and the diagnostic mechanism of the OER. Second, the OER is theoretically proved to be a reliable fault indicator by analyzing the proposed signal model. The offset of the uncertainty terms highlighting the fault symptoms demonstrates the potential success of using OER for the fault diagnosis. Finally, OERs generated from the vibration data and three typical machine learning algorithms are used to adaptively obtain the optimal bandwidth and thus the AOER. The AOER can be directly used for the remaining vibration data of the corresponding operational condition. Comparing with SER and the convolutional neural network, the experimental results demonstrate the effectiveness and outperformance of AOER for both stationary and non stationary operational conditions. More importantly, since AOER can cope with diagnostic tasks for different operational conditions, it enables an improved ability to monitor a PG's health in the actual complex environment.","Adaptive order sideband energy ratio (AOER),Signal model,Variety operational conditions",Article,"ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD, 24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",Engineering,,6.662,"VOLD-KALMAN,FILTER,DEEP,NEURAL-NETWORKS,INTELLIGENT,DIAGNOSIS,MESHING,FREQUENCY,TRACKING,TRANSFORM",MECHANICAL SYSTEMS AND SIGNAL PROCESSING,,
6,Research on fault diagnosis of planetary gearbox based on variable multi-scale morphological filtering and improved symbol dynamic entropy,,,,"Liu Tongtong,Cui Lingli,Zhang Jianyu,Zhang Chao","Liu TT,Cui LL,Zhang JY,Zhang C",,10.1007/s00170-021-08085-0,,"Under complex working conditions with noise interference, the fault feature of planetary gearbox is difficult to be extracted and the fault mode is difficult to be identified. To tackle this problem, the technologies of variable multi-scale morphological filtering (VMSMF) and average multi-scale double symbolic dynamic entropy (AMDSDE) are proposed in this paper. VMSMF selects Chebyshev Window as the structural element and automatically selects the optimal-scale parameters according to the signal characteristics of the planetary gearbox, which improves the filtering accuracy and calculation efficiency. AMDSDE fully considers the correlation between various state modes. Once combined with relevant knowledge of Mathematical statistics, the algorithm can effectively reduce misjudgment. Firstly, the turn domain resampling (TDR) is used to transform the time domain signal of variable speed into the angle domain signal that is not affected by speed change. Secondly, the proposed VMSMF is used to de-noise the vibration signal, and the fault signal with a high signal-to-noise ratio is obtained. Finally, AMDSDE is used to extract the entropy value of the fault signal and judge the fault type. The proposed technology is verified by four kinds of signals collected from the sun gear of the planetary gearbox under non-stationary working conditions.","VMSMF,AMDSDE",Article; Early Access,"SPRINGER LONDON LTD, 236 GRAYS INN RD, 6TH FLOOR, LONDON WC1X 8HL, ENGLAND","Automation & Control Systems,Engineering",,3.32,"APPROXIMATE,ENTROPY,DECOMPOSITION,OPERATORS,BEARING",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,https://www.researchsquare.com/article/rs-805447/v1.pdf?c=1641621053000,
7,Intelligent Fault Diagnosis of Gearbox Under Variable Working Conditions With Adaptive Intraclass and Interclass Convolutional Neural Network,,,,"Zhao Xiaoli,Yao Jianyong,Deng Wenxiang,Ding Peng,Ding Yifei,Jia Minping,Liu Zheng","Zhao XL,Yao JY,Deng WX,Ding P,Ding YF,Jia MP,Liu Z",,10.1109/TNNLS.2021.3135877,,"The industrial gearboxes usually work in harsh and variable conditions, which results in partial failure of gears or bearings. Accordingly, the continuous irregular fluctuations of gearbox under variable conditions maybe increase the intraclass difference and reduce the interclass difference for the monitored samples. To this end, a new intelligent fault diagnosis method of gearbox based on adaptive intraclass and interclass convolutional neural network (AIICNN) under variable working conditions is proposed. The core of the proposed algorithm is to apply the designed intraclass and interclass constraints to improve the distribution differences of samples. Meanwhile, the adaptive activation function is added into the 1-D convolutional neural network (1dCNN) to enlarge the heterogeneous distance and narrow the homogeneous distance of samples. Specifically, the training sample subset with intraclass and interclass spacing fluctuations under variable conditions is first converted into frequency domain through the fast Fourier transform (FFT), and the designed AIICNN algorithm is employed for model training. Afterward, the testing subset is provided to the trained AIICNN algorithm for fault diagnosis. The experimental data of the planetary gearbox test rig verify the feasibility of the proposed diagnosis method and algorithm. Compared with other methods, this method can eliminate the difference of sample distribution under variable conditions and improve its diagnostic generalization.","Employee welfare,Feature extraction,Convolutional neural networks,Vibrations,Training,Adaptation models,Convolutional neural network (CNN),gearbox,intraclass and interclass,variable working conditions",Article; Early Access,"IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC, 445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","Computer Science,Engineering",,10.746,"TURBINE,PLANETARY,GEARBOX,DEEP,RESIDUAL,NETWORKS,FLUCTUATING,SPEED,ROLLING,BEARING,MODE,DECOMPOSITION,FRAMEWORK,DRIVEN",IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,,
8,Model based diagnostic tool for detection of gear tooth crack in a wind turbine gearbox under constant load,,,,"Kumar Rishi,Roy Sankar Kumar","Kumar R,Roy SK",,10.1007/s13198-021-01521-0,,"Dynamic modelling of wind turbine drive-train system (WTDS) is important to analyse the behaviour of the vibration and load sharing characteristics of the gearbox. The WTDS mostly contains one planetary gear stage and two parallel gear stages. Sun gear is a significant component in the planetary gear stage and is prone to fail under fatigue loading due to the bending and shear effect. Crack is most likely to occur in the gear tooth root and it decreases the tooth thickness and load-carrying capacity of the gear. The presence of crack decreases the tooth contact number and tooth contact position during the time of meshing. This leads to a variation and quantified reduction in the time varying mesh stiffness (TVMS) of a meshing gear pair. Hence, a dynamic model is developed by including different crack depth levels in the sun gear. The governing equations for the model are derived using Lagrange's formulation and dynamic responses are obtained numerically by step-by-step direct integration method. The dynamic responses like contact forces and angular velocities are estimated at 0%, 10%, and 30% of crack depth in the sun gear tooth and analysed to study the dynamic behaviour of the drive-train for un-cracked and cracked gears beforehand.","Wind turbine drive-train,Mathematical modelling,Time varying mesh stiffness,Tooth crack,Dynamic response",Article; Early Access,"SPRINGER INDIA, 7TH FLOOR, VIJAYA BUILDING, 17, BARAKHAMBA ROAD, NEW DELHI, 110 001, INDIA",Engineering,,,"FAULT-DIAGNOSIS,PLANETARY,GEAR,DYNAMIC-ANALYSIS,DRIVE,TRAIN,SPUR,GEAR,MESH,STIFFNESS,ROOT,CRACK,VIBRATION,SIMULATION",INTERNATIONAL JOURNAL OF SYSTEM ASSURANCE ENGINEERING AND MANAGEMENT,,
9,Vibration Separation Methodology Compensated by Time-Varying Transfer Function for Fault Diagnosis of Non-Hunting Tooth Planetary Gearbox,22,2,,"Tong Shuiguang,Li Junjie,Cong Feiyun,Fu Zilong,Tong Zheming","Tong SG,Li JJ,Cong FY,Fu ZL,Tong ZM",,10.3390/s22020557,,"Due to planetary movement of planet gears, the vibration signal perceived by a stationary sensor is modulated and difficult to diagnose. This paper proposed a vibration separation methodology compensated by a time-varying transfer function (TVTF-VS), which is a further development of the vibration separation (VS) method in the diagnosis of non-hunting tooth planetary gearboxes. On the basis of VS, multi-teeth VS is proposed to extract and synthesize the meshing signal of a planet gear using a single transducer. Considering the movement regularity of a planetary gearbox, the time-varying transfer function (TVTF) is represented by a generalized expression. The TVTF is constructed using a segment of healthy signal and an evaluation indicator is established to optimize the parameters of the TVTF. The constructed TVTF is applied to overcome the amplitude modulation effect and highlight fault characteristics. After that, experiments with baseline, pitting, and compound localized faults planet gears were conducted on a non-hunting tooth planetary gearbox test rig, respectively. The results demonstrate that incipient failure on a planet gear can be detected effectively, and relative location of the local faults can be determined accurately.","vibration separation,time-varying transfer function,non-hunting ratio",Article,"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Chemistry,Engineering,Instruments & Instrumentation",,3.735,"MODULATION,SIDE-BAND,SUN,GEAR,DOMAIN,AVERAGES,SIGNAL,MODELS,DECOMPOSITION,NETWORKS,SET",SENSORS,https://www.mdpi.com/1424-8220/22/2/557/pdf,
10,Fault Detection of Planetary Gears Based on Signal Space Constellations,22,1,,"Martincorena-Arraiza Maite,De La Cruz Blas Carlos A.,Lopez-Martin Antonio,Vicuna Cristian Molina,Matias Ignacio R.","Martincorena-Arraiza M,Blas CDA,Lopez-Martin A,Vicuna CM,Matias IR",,10.3390/s22010366,,"A new method to process the vibration signal acquired by an accelerometer placed in a planetary gearbox housing is proposed, which is useful to detect potential faults. The method is based on the phenomenological model and consists of the projection of the healthy vibration signals onto an orthonormal basis. Low pass components representation and Gram-Schmidt's method are conveniently used to obtain such a basis. Thus, the measured signals can be represented by a set of scalars that provide information on the gear state. If these scalars are within a predefined range, then the gear can be diagnosed as correct; in the opposite case, it will require further evaluation. The method is validated using measured vibration signals obtained from a laboratory test bench.",vibration signal processing,Article,"MDPI, ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Chemistry,Engineering,Instruments & Instrumentation",,3.735,"CONDITION,INDICATORS,CRACK-PROPAGATION,DIAGNOSIS,VIBRATIONS,SYSTEM",SENSORS,https://www.mdpi.com/1424-8220/22/1/366/pdf,
